observationName,nextAttend,currentAttend,currentW,priorW,%capacity,payrollM,stadiumCap,stadiumAge,yearsInCity,playoffs,playoffsBin,proTeams,allstars,hrs,pop15,pop30,pop45,pop60,households15,households30,households45,households60,medInc15,medInc30,medInc45,medInc60
atlanta braves_2014,2001.392,2354.305,79,96,0.586,108.0815,49586,18,49,no_playoff,no,3,3,123,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2013,2354.305,2548.679,96,94,0.635,95.61875,49586,17,48,lds,yes,3,3,181,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2012,2548.679,2420.171,94,89,0.603,86.208,49586,16,47,lds,yes,3,4,149,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2011,2420.171,2372.94,89,91,0.589,93.85513,49743,15,46,no_playoff,no,3,5,173,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2010,2372.94,2510.119,91,86,0.623,84.42367,49743,14,45,lds,yes,3,5,139,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2009,2510.119,2373.631,86,72,0.589,99.59317,49743,13,44,no_playoff,no,3,1,149,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2008,2373.631,2532.834,72,84,0.629,102.36568,49743,12,43,no_playoff,no,3,2,130,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2007,2532.834,2745.207,84,79,0.677,87.29083,50091,11,42,no_playoff,no,3,2,176,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
atlanta braves_2006,2745.207,2550.524,79,71,0.629,90.15688,50096,10,41,no_playoff,no,3,3,222,349174,1393225,2633375,3867594,144285,557438,1006695,1433392,45081,51345,57435,61294
miami marlins_2014,1752.235,1732.283,77,62,0.571,42.3654,37442,3,22,no_playoff,no,4,2,122,592567,1916620,3057321,3958065,219010,651888,1050354,1386505,41533,48087,51174,51828
miami marlins_2013,1732.283,1586.322,62,69,0.523,24.7619,37442,2,21,no_playoff,no,4,1,95,592567,1916620,3057321,3958065,219010,651888,1050354,1386505,41533,48087,51174,51828
miami marlins_2012,1586.322,2219.444,69,72,0.732,107.678,37442,1,20,no_playoff,no,4,1,137,592567,1916620,3057321,3958065,219010,651888,1050354,1386505,41533,48087,51174,51828
florida marlins_2011,2219.444,1520.562,72,80,0.487,57.694,38560,25,19,no_playoff,no,4,1,117,592567,1916620,3057321,3958065,219010,651888,1050354,1386505,41533,48087,51174,51828
florida marlins_2010,1520.562,1524.894,80,87,0.488,57.45472,38560,24,18,no_playoff,no,4,2,120,592567,1916620,3057321,3958065,219010,651888,1050354,1386505,41533,48087,51174,51828
